transaction_date,symboling,normalized-losses,make,num-of-doors,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas,horsepower_scaled,make_freq,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_awd,drive-wheels_fwd,drive-wheels_rwd,aspiration_std,aspiration_turbo,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,engine-location_front,engine-location_rear,fuel-system_1bbl,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi
2025-11-01,0,192,bmw,four,101.2,0.8495915425276309,0.8999999999999999,54.3,2395,four,108,3.5,2.8,8.8,101.0,5800.0,23,29,10270.0,10.217391304347826,low,0,1,0.24766355140186916,9,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-01-12,0,188,bmw,two,101.2,0.8495915425276309,0.8999999999999999,54.3,2710,six,164,3.31,3.19,9.0,121.0,4250.0,21,28,20970.0,11.190476190476188,medium,0,1,0.3411214953271028,9,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-01-13,0,188,bmw,four,101.2,0.8495915425276309,0.8999999999999999,54.3,2765,six,164,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0,11.190476190476188,medium,0,1,0.3411214953271028,9,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-01-14,1,122,bmw,four,103.5,0.9082172032676598,0.9291666666666668,55.7,3055,six,164,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0,11.75,medium,0,1,0.3411214953271028,9,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-01-15,0,122,bmw,four,103.5,0.9082172032676598,0.9291666666666668,55.7,3230,six,209,3.62,3.39,8.0,182.0,5400.0,16,22,30760.0,14.6875,high,0,1,0.6261682242990654,9,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-01-16,0,122,bmw,four,103.5,0.9312830370014415,0.9430555555555556,53.7,3380,six,209,3.62,3.39,8.0,182.0,5400.0,16,22,41315.0,14.6875,high,0,1,0.6261682242990654,9,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-01-17,0,122,bmw,four,110.0,0.9466602594906296,0.9847222222222224,56.3,3505,six,209,3.62,3.39,8.0,182.0,5400.0,15,20,36880.0,15.666666666666664,high,0,1,0.6261682242990654,9,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-01-18,2,121,chevrolet,two,88.4,0.6780394041326285,0.8374999999999999,53.2,1488,three,61,2.91,3.03,9.5,48.0,5100.0,47,53,5151.0,5.0,low,0,1,0.0,3,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-01-19,1,98,chevrolet,two,94.5,0.7491590581451226,0.8833333333333333,52.0,1874,four,90,3.03,3.11,9.6,70.0,5400.0,38,43,6295.0,6.184210526315789,low,0,1,0.102803738317757,3,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-01-20,0,81,chevrolet,four,94.5,0.7630946660259491,0.8833333333333333,52.0,1909,four,90,3.03,3.11,9.6,70.0,5400.0,38,43,6575.0,6.184210526315789,low,0,1,0.102803738317757,3,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-01-21,1,118,dodge,two,93.7,0.7558865929841423,0.8861111111111111,50.8,1876,four,90,2.97,3.23,9.41,95.0,5500.0,37,41,5572.0,6.351351351351353,low,0,1,0.21962616822429906,9,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-01-22,1,118,dodge,two,93.7,0.7558865929841423,0.8861111111111111,50.8,1876,four,90,2.97,3.23,9.4,68.0,5500.0,31,38,6377.0,7.580645161290323,low,0,1,0.09345794392523364,9,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-01-23,1,118,dodge,two,93.7,0.7558865929841423,0.8861111111111111,50.8,2128,four,98,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,9.791666666666666,medium,0,1,0.2523364485981308,9,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-01-24,1,148,dodge,four,93.7,0.7558865929841423,0.8861111111111111,50.6,1967,four,90,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,7.580645161290323,low,0,1,0.09345794392523364,9,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-01-25,1,148,dodge,four,93.7,0.7558865929841423,0.8861111111111111,50.6,1989,four,90,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,7.580645161290323,low,0,1,0.09345794392523364,9,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-01-26,1,148,dodge,four,93.7,0.7558865929841423,0.8861111111111111,50.6,1989,four,90,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0,7.580645161290323,low,0,1,0.09345794392523364,9,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-01-27,1,148,dodge,four,93.7,0.7558865929841423,0.8861111111111111,50.6,2191,four,98,3.03,3.39,7.6,102.0,5500.0,24,30,8558.0,9.791666666666666,medium,0,1,0.2523364485981308,9,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-01-28,-1,110,dodge,four,103.3,0.8390197020663143,0.8972222222222221,59.8,2535,four,122,3.34,3.46,8.5,88.0,5000.0,24,30,8921.0,9.791666666666666,low,0,1,0.18691588785046728,9,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-01-29,3,145,dodge,two,95.9,0.8322921672272945,0.9208333333333332,50.2,2811,four,156,3.6,3.9,7.0,145.0,5000.0,19,24,12964.0,12.36842105263158,medium,0,1,0.4532710280373832,9,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2025-01-30,2,137,honda,two,86.6,0.6948582412301778,0.8875,50.8,1713,four,92,2.91,3.41,9.6,58.0,4800.0,49,54,6479.0,4.795918367346938,low,0,1,0.04672897196261682,12,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2025-01-31,2,137,audi,two,86.6,0.6948582412301778,0.8875,50.8,1819,four,92,2.91,3.41,9.2,76.0,6000.0,31,38,6855.0,7.580645161290323,low,0,1,0.1308411214953271,7,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2025-02-01,1,101,honda,two,93.7,0.7208073041806824,0.8888888888888888,52.6,1837,four,79,2.91,3.07,10.1,60.0,5500.0,38,42,5399.0,6.184210526315789,low,0,1,0.056074766355140186,12,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2025-02-02,1,101,honda,two,93.7,0.7208073041806824,0.8888888888888888,52.6,1940,four,92,2.91,3.41,9.2,76.0,6000.0,30,34,6529.0,7.833333333333332,low,0,1,0.1308411214953271,12,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2025-02-03,1,101,honda,two,93.7,0.7208073041806824,0.8888888888888888,52.6,1956,four,92,2.91,3.41,9.2,76.0,6000.0,30,34,7129.0,7.833333333333332,low,0,1,0.1308411214953271,12,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2025-04-02,0,110,honda,four,96.5,0.7851994233541567,0.8888888888888888,54.5,2010,four,92,2.91,3.41,9.2,76.0,6000.0,30,34,7295.0,7.833333333333332,low,0,1,0.1308411214953271,12,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2025-02-05,0,78,honda,four,96.5,0.7549255165785679,0.8875,58.3,2024,four,92,2.92,3.41,9.2,76.0,6000.0,30,34,10270.0,7.833333333333332,low,0,1,0.1308411214953271,12,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2025-06-02,0,106,honda,two,96.5,0.8049014896684287,0.9055555555555556,53.3,2236,four,110,3.15,3.58,9.0,86.0,5800.0,27,33,7895.0,8.703703703703704,low,0,1,0.17757009345794392,12,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2025-02-07,0,106,honda,two,96.5,0.8049014896684287,0.9055555555555556,53.3,2289,four,110,3.15,3.58,9.0,86.0,5800.0,27,33,9095.0,8.703703703703704,low,0,1,0.17757009345794392,12,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2025-08-02,0,85,honda,four,96.5,0.8428640076886112,0.9055555555555556,54.1,2304,four,110,3.15,3.58,9.0,86.0,5800.0,27,33,8845.0,8.703703703703704,low,0,1,0.17757009345794392,12,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2025-02-09,0,85,honda,four,96.5,0.8428640076886112,0.8680555555555556,54.1,2372,four,110,3.15,3.58,9.0,86.0,5800.0,27,33,10295.0,8.703703703703704,low,0,1,0.17757009345794392,12,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
,0,85,honda,four,96.5,0.8428640076886112,0.9055555555555556,54.1,2465,four,110,3.15,3.58,9.0,101.0,5800.0,24,28,12945.0,9.791666666666666,low,0,1,0.24766355140186916,12,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-02-11,1,107,honda,two,96.5,0.8125901009130225,0.9166666666666666,51.0,2293,four,110,3.15,3.58,9.1,100.0,5500.0,25,31,10345.0,9.4,low,0,1,0.24299065420560748,12,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-12-02,0,122,isuzu,four,94.3,0.8202787121576165,0.8583333333333333,53.5,2337,four,111,3.31,3.23,8.5,78.0,4800.0,24,29,6785.0,9.791666666666666,low,0,1,0.14018691588785046,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-02-13,2,122,isuzu,two,96.0,0.8294089380105718,0.9055555555555556,51.4,2734,four,119,3.43,3.23,9.2,90.0,5000.0,24,29,11048.0,9.791666666666666,low,0,1,0.19626168224299065,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2025-02-14,0,145,jaguar,four,113.0,0.9591542527630946,0.9666666666666666,52.8,4066,six,258,3.63,4.17,8.1,176.0,4750.0,15,19,32250.0,15.666666666666664,high,0,1,0.5981308411214953,3,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-02-15,0,122,jaguar,four,113.0,0.9591542527630946,0.9666666666666666,52.8,4066,six,258,3.63,4.17,8.1,176.0,4750.0,15,19,35550.0,15.666666666666664,high,0,1,0.5981308411214953,3,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-02-16,0,122,jaguar,two,102.0,0.921191734742912,0.9805555555555556,47.8,3950,twelve,326,3.54,2.76,11.5,262.0,5000.0,13,17,36000.0,18.07692307692308,,0,1,1.0,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2025-02-17,1,104,mazda,two,93.1,0.7645362806343105,0.8916666666666667,54.1,1890,four,91,3.03,3.15,9.0,68.0,5000.0,30,31,5195.0,7.833333333333332,low,0,1,0.09345794392523364,17,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-02-18,1,104,mazda,two,93.1,0.7645362806343105,0.8916666666666667,54.1,1900,four,91,3.03,3.15,9.0,68.0,5000.0,31,38,6095.0,7.580645161290323,low,0,1,0.09345794392523364,17,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-02-19,1,104,mazda,two,93.1,0.7645362806343105,0.8916666666666667,54.1,1905,four,91,3.03,3.15,9.0,68.0,5000.0,31,38,6795.0,7.580645161290323,low,0,1,0.09345794392523364,17,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-02-20,1,113,mazda,four,93.1,0.8015377222489188,0.8916666666666667,54.1,1945,four,91,3.03,3.15,9.0,68.0,5000.0,31,38,6695.0,7.580645161290323,low,0,1,0.09345794392523364,17,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-02-21,1,113,mazda,four,93.1,0.8015377222489188,0.8916666666666667,54.1,1950,four,91,3.08,3.15,9.0,68.0,5000.0,31,38,7395.0,7.580645161290323,low,0,1,0.09345794392523364,17,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-02-22,3,150,mazda,two,95.3,0.8121095627102355,0.9125,49.6,2380,two,70,3.329751243781096,3.29,9.4,101.0,6000.0,17,23,10945.0,13.823529411764708,low,0,1,0.24766355140186916,17,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2025-02-23,3,150,mazda,two,95.3,0.8121095627102355,0.9125,49.6,2380,two,70,3.329751243781096,3.29,9.4,101.0,6000.0,17,23,11845.0,13.823529411764708,low,0,1,0.24766355140186916,17,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2025-02-24,3,150,mazda,two,95.3,0.8121095627102355,0.9125,49.6,2385,two,70,3.329751243781096,3.29,9.4,101.0,6000.0,17,23,13645.0,13.823529411764708,low,0,1,0.24766355140186916,17,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2025-02-25,3,150,mazda,two,95.3,0.8121095627102355,0.9125,49.6,2500,two,80,3.329751243781096,3.29,9.4,95.0,6000.0,16,23,15645.0,14.6875,medium,0,1,0.21962616822429906,17,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2025-02-26,1,129,mazda,two,98.8,0.8543969245555022,0.9236111111111112,53.7,2385,four,122,3.39,3.39,8.6,84.0,4800.0,26,32,8845.0,9.038461538461537,low,0,1,0.16822429906542055,17,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-02-27,0,115,mazda,four,98.8,0.8543969245555022,0.9236111111111112,55.5,2410,four,122,3.39,3.39,8.6,84.0,4800.0,26,32,8495.0,9.038461538461537,low,0,1,0.16822429906542055,17,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-02-28,1,129,mazda,two,98.8,0.8543969245555022,0.9236111111111112,53.7,2385,four,122,3.39,3.39,8.6,84.0,4800.0,26,32,10595.0,9.038461538461537,low,0,1,0.16822429906542055,17,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-03-01,0,115,mazda,four,98.8,0.8543969245555022,0.9236111111111112,55.5,2410,four,122,3.39,3.39,8.6,84.0,4800.0,26,32,10245.0,9.038461538461537,low,0,1,0.16822429906542055,17,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-02-03,0,122,mazda,four,98.8,0.8543969245555022,0.9236111111111112,55.5,2443,four,122,3.39,3.39,22.7,64.0,4650.0,36,42,10795.0,6.527777777777778,low,1,0,0.07476635514018691,17,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2025-03-03,0,115,mazda,four,98.8,0.8543969245555022,0.9236111111111112,55.5,2425,four,122,3.39,3.39,8.6,84.0,4800.0,26,32,11245.0,9.038461538461537,low,0,1,0.16822429906542055,17,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-04-03,0,118,mazda,four,104.9,0.8409418548774628,0.9180555555555556,54.4,2670,four,140,3.76,3.16,8.0,120.0,5000.0,19,27,18280.0,12.36842105263158,medium,0,1,0.3364485981308411,17,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-03-05,0,122,mazda,four,104.9,0.8409418548774628,0.9180555555555556,54.4,2700,four,134,3.43,3.64,22.0,72.0,4200.0,31,39,18344.0,7.580645161290323,low,1,0,0.11214953271028037,17,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2025-06-03,-1,93,mercedes-benz,four,110.0,0.9173474291206152,0.9763888888888888,56.5,3515,five,183,3.58,3.64,21.5,123.0,4350.0,22,25,25552.0,10.681818181818182,medium,1,0,0.35046728971962615,8,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2025-03-07,-1,93,mercedes-benz,four,110.0,0.9173474291206152,0.9763888888888888,58.7,3750,five,183,3.58,3.64,21.5,123.0,4350.0,22,25,28248.0,10.681818181818182,medium,1,0,0.35046728971962615,8,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-08-03,0,93,mercedes-benz,two,106.7,0.9010091302258528,0.9763888888888888,54.9,3495,five,183,3.58,3.64,21.5,123.0,4350.0,22,25,28176.0,10.681818181818182,medium,1,0,0.35046728971962615,8,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2025-03-09,-1,93,mercedes-benz,four,115.6,0.9735703988467084,0.9958333333333332,56.3,3770,five,183,3.58,3.64,21.5,123.0,4350.0,22,25,31600.0,10.681818181818182,medium,1,0,0.35046728971962615,8,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2025-10-03,-1,122,mercedes-benz,four,115.6,0.9735703988467084,0.9958333333333332,56.5,3740,eight,234,3.46,3.1,8.3,155.0,4750.0,16,18,34184.0,14.6875,medium,0,1,0.5,8,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2025-03-11,3,142,mercedes-benz,two,96.6,0.8664103796251803,0.9791666666666666,50.8,3685,eight,234,3.46,3.1,8.3,155.0,4750.0,16,18,35056.0,14.6875,medium,0,1,0.5,8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2025-12-03,0,122,mercedes-benz,four,120.9,1.0,0.9958333333333332,56.7,3900,eight,308,3.8,3.35,8.0,184.0,4500.0,14,16,40960.0,16.785714285714285,high,0,1,0.6355140186915887,8,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2025-03-13,1,122,mercedes-benz,two,112.0,0.957232099951946,1.0,55.4,3715,eight,304,3.8,3.35,8.0,184.0,4500.0,14,16,45400.0,16.785714285714285,high,0,1,0.6355140186915887,8,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2025-03-14,1,122,mercury,two,102.7,0.8572801537722249,0.9444444444444444,54.8,2910,four,140,3.78,3.12,8.0,175.0,5000.0,19,24,16503.0,12.36842105263158,high,0,1,0.5934579439252337,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-03-15,2,161,mitsubishi,two,93.7,0.7558865929841423,0.8944444444444445,50.8,1918,four,92,2.97,3.23,9.4,68.0,5500.0,37,41,5389.0,6.351351351351353,low,0,1,0.09345794392523364,12,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-03-16,2,161,mitsubishi,two,93.7,0.7558865929841423,0.8944444444444445,50.8,1944,four,92,2.97,3.23,9.4,68.0,5500.0,31,38,6189.0,7.580645161290323,low,0,1,0.09345794392523364,12,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-03-17,2,161,bmw,two,93.7,0.7558865929841423,0.8944444444444445,50.8,2004,four,92,2.97,3.23,9.4,68.0,5500.0,31,38,6669.0,7.580645161290323,low,0,1,0.09345794392523364,9,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-03-18,1,161,mitsubishi,two,93.0,0.7558865929841423,0.8861111111111111,50.8,2145,four,98,3.03,3.39,7.6,102.0,5500.0,24,30,7689.0,9.791666666666666,medium,0,1,0.2523364485981308,12,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2025-03-19,3,153,mitsubishi,two,96.3,0.8313310908217203,0.9083333333333334,49.4,2370,four,110,3.17,3.46,7.5,116.0,5500.0,23,30,9959.0,10.217391304347826,medium,0,1,0.3177570093457944,12,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2025-03-20,3,153,mitsubishi,two,96.3,0.8313310908217203,0.9083333333333334,49.4,2328,four,122,3.35,3.46,8.5,88.0,5000.0,25,32,8499.0,9.4,low,0,1,0.18691588785046728,12,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-03-21,3,122,mitsubishi,two,95.9,0.8322921672272945,0.9208333333333332,50.2,2833,four,156,3.58,3.86,7.0,145.0,5000.0,19,24,12629.0,12.36842105263158,medium,0,1,0.4532710280373832,12,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2025-03-22,3,122,mitsubishi,two,95.9,0.8322921672272945,0.9208333333333332,50.2,2921,four,156,3.59,3.86,7.0,145.0,5000.0,19,24,10270.0,12.36842105263158,medium,0,1,0.4532710280373832,12,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2025-03-23,3,122,mitsubishi,two,95.9,0.8322921672272945,0.9208333333333332,50.2,2926,four,156,3.59,3.86,7.0,145.0,5000.0,19,24,14489.0,12.36842105263158,medium,0,1,0.4532710280373832,12,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2025-03-24,1,125,mitsubishi,four,96.3,0.8284478616049976,0.9083333333333334,51.6,2365,four,122,3.35,3.46,8.5,88.0,5000.0,25,32,6989.0,9.4,low,0,1,0.18691588785046728,12,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
